county_fips_full,county_name,state,year,period,value,chg1,yoy,index_base100,freq,metric,source
05107,Phillips,AR,2024,2024-12-31,165.75,-0.054100325286765893,-0.054100325286765893,165.75,A,hpi,hpi_at_county.csv
05109,Pike,AR,2024,2024-12-31,214.99,0.23083528940287423,0.23083528940287423,214.99,A,hpi,hpi_at_county.csv
05111,Poinsett,AR,2024,2024-12-31,264.92,0.06835504294874384,0.06835504294874384,264.92,A,hpi,hpi_at_county.csv
05113,Polk,AR,2024,2024-12-31,265.03,0.11291677164693037,0.11291677164693037,265.03,A,hpi,hpi_at_county.csv
05115,Pope,AR,2024,2024-12-31,349.9,0.05034070783177724,0.05034070783177724,302.3416573057979,A,hpi,hpi_at_county.csv
05119,Pulaski,AR,2024,2024-12-31,642.75,0.03895579083488254,0.03895579083488254,286.5581810075791,A,hpi,hpi_at_county.csv
05121,Randolph,AR,2024,2024-12-31,222.88,0.04879770363747582,0.04879770363747582,222.88000000000002,A,hpi,hpi_at_county.csv
05123,Saint Francis,AR,2024,2024-12-31,180.67,0.011024062674874102,0.011024062674874102,180.67,A,hpi,hpi_at_county.csv
05125,Saline,AR,2024,2024-12-31,294.81,0.025818574063119826,0.025818574063119826,277.59887005649716,A,hpi,hpi_at_county.csv
05127,Scott,AR,2024,2024-12-31,173.69,0.10581269497676193,0.10581269497676193,173.69,A,hpi,hpi_at_county.csv
05131,Sebastian,AR,2024,2024-12-31,583.5,0.045155743430833395,0.045155743430833395,308.8118549880921,A,hpi,hpi_at_county.csv
05133,Sevier,AR,2024,2024-12-31,235.03,0.06860962080567434,0.06860962080567434,235.02999999999997,A,hpi,hpi_at_county.csv
05135,Sharp,AR,2024,2024-12-31,238.24,0.00603859634305981,0.00603859634305981,238.24,A,hpi,hpi_at_county.csv
05137,Stone,AR,2024,2024-12-31,223.3,-0.04694835680751175,-0.04694835680751175,223.3,A,hpi,hpi_at_county.csv
05139,Union,AR,2024,2024-12-31,234.57,0.0548160805827862,0.0548160805827862,256.8940970320885,A,hpi,hpi_at_county.csv
05141,Van Buren,AR,2024,2024-12-31,203.79,-0.07351336606655767,-0.07351336606655767,203.79,A,hpi,hpi_at_county.csv
05143,Washington,AR,2024,2024-12-31,860.06,0.051829566578612596,0.051829566578612596,427.23163280512637,A,hpi,hpi_at_county.csv
05145,White,AR,2024,2024-12-31,368.6,0.07410321415042098,0.07410321415042098,320.85654596100284,A,hpi,hpi_at_county.csv
05149,Yell,AR,2024,2024-12-31,216.73,0.0979786210041036,0.0979786210041036,216.73,A,hpi,hpi_at_county.csv
