GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C8J001,C8O001
"G2801630","1980","A","3","6","Mississippi","28",,"Yazoo","163",,,,,,,,,,,,,"02",,,,,,,,"YAZOO COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",25000,66
"G2900010","1980","A","2","4","Missouri","29",,"Adair","001",,,,,,,,,,,,,"02",,,,,,,,"ADAIR COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",32900,139
"G2900030","1980","A","2","4","Missouri","29","7000","Andrew","003",,,,,,,,,,,,,"01",,,,,,,,"ANDREW COUNTY","0","0","1","0","0","0","1","0","0","0","0","1","1","1","1","0","0","0","0","1","0",34800,124
"G2900050","1980","A","2","4","Missouri","29",,"Atchison","005",,,,,,,,,,,,,"01",,,,,,,,"ATCHISON COUNTY","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0",25500,106
"G2900070","1980","A","2","4","Missouri","29",,"Audrain","007",,,,,,,,,,,,,"02",,,,,,,,"AUDRAIN COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",28300,105
"G2900090","1980","A","2","4","Missouri","29",,"Barry","009",,,,,,,,,,,,,"04",,,,,,,,"BARRY COUNTY","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0",29200,112
"G2900110","1980","A","2","4","Missouri","29",,"Barton","011",,,,,,,,,,,,,"03",,,,,,,,"BARTON COUNTY","0","0","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","1","0",21600,92
"G2900130","1980","A","2","4","Missouri","29",,"Bates","013",,,,,,,,,,,,,"03",,,,,,,,"BATES COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",21600,106
"G2900150","1980","A","2","4","Missouri","29",,"Benton","015",,,,,,,,,,,,,"05",,,,,,,,"BENTON COUNTY","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",25800,110
"G2900170","1980","A","2","4","Missouri","29",,"Bollinger","017",,,,,,,,,,,,,"06",,,,,,,,"BOLLINGER COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0",21700,96
"G2900190","1980","A","2","4","Missouri","29","1740","Boone","019",,,,,,,,,,,,,"02",,,,,,,,"BOONE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",46200,185
"G2900210","1980","A","2","4","Missouri","29","7000","Buchanan","021",,,,,,,,,,,,,"01",,,,,,,,"BUCHANAN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",29000,132
"G2900230","1980","A","2","4","Missouri","29",,"Butler","023",,,,,,,,,,,,,"09",,,,,,,,"BUTLER COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",25000,109
"G2900250","1980","A","2","4","Missouri","29",,"Caldwell","025",,,,,,,,,,,,,"02",,,,,,,,"CALDWELL COUNTY","0","0","1","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0",18500,89
"G2900270","1980","A","2","4","Missouri","29",,"Callaway","027",,,,,,,,,,,,,"02",,,,,,,,"CALLAWAY COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",36000,152
"G2900290","1980","A","2","4","Missouri","29",,"Camden","029",,,,,,,,,,,,,"05",,,,,,,,"CAMDEN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",43200,138
"G2900310","1980","A","2","4","Missouri","29",,"Cape Girardeau","031",,,,,,,,,,,,,"06",,,,,,,,"CAPE GIRARDEAU COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",40100,160
"G2900330","1980","A","2","4","Missouri","29",,"Carroll","033",,,,,,,,,,,,,"01",,,,,,,,"CARROLL COUNTY","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0",21800,84
"G2900350","1980","A","2","4","Missouri","29",,"Carter","035",,,,,,,,,,,,,"08",,,,,,,,"CARTER COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",19100,89
"G2900370","1980","A","2","4","Missouri","29","3760","Cass","037",,,,,,,,,,,,,"03",,,,,,,,"CASS COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",42400,158
"G2900390","1980","A","2","4","Missouri","29",,"Cedar","039",,,,,,,,,,,,,"03",,,,,,,,"CEDAR COUNTY","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0",26800,98
"G2900410","1980","A","2","4","Missouri","29",,"Chariton","041",,,,,,,,,,,,,"02",,,,,,,,"CHARITON COUNTY","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0",21500,85
"G2900430","1980","A","2","4","Missouri","29","7920","Christian","043",,,,,,,,,,,,,"07",,,,,,,,"CHRISTIAN COUNTY","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0",33700,130
"G2900450","1980","A","2","4","Missouri","29",,"Clark","045",,,,,,,,,,,,,"02",,,,,,,,"CLARK COUNTY","0","0","1","1","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0",22000,98
"G2900470","1980","A","2","4","Missouri","29","3760","Clay","047",,,,,,,,,,,,,"A",,,,,,,,"CLAY COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",46100,210
"G2900490","1980","A","2","4","Missouri","29",,"Clinton","049",,,,,,,,,,,,,"01",,,,,,,,"CLINTON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",34600,125
"G2900510","1980","A","2","4","Missouri","29",,"Cole","051",,,,,,,,,,,,,"06",,,,,,,,"COLE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",43900,170
